Block comparison (size 4096 bytes)
Total blocks: 256

0x000000-0x000FFF: DIFFERENT | selected=duo_dump | CRCs: u1=E0EB6A88 u2=4FFA32F4 duo=3F0B2A03
0x062000-0x062FFF: DIFFERENT | selected=duo_dump | CRCs: u1=0F6B3B77 u2=411C17DD duo=A41A68F0
0x063000-0x063FFF: DIFFERENT | selected=duo_dump | CRCs: u1=3E14E16E u2=CD1A5618 duo=896B696C
0x064000-0x064FFF: DIFFERENT | selected=duo_dump | CRCs: u1=9EF13886 u2=394F12C5 duo=6B60BBC6
0x065000-0x065FFF: DIFFERENT | selected=duo_dump | CRCs: u1=C97562D8 u2=447F8243 duo=2C08EFAC
0x066000-0x066FFF: DIFFERENT | selected=duo_dump | CRCs: u1=380452FA u2=083BF302 duo=E7292113
0x067000-0x067FFF: DIFFERENT | selected=duo_dump | CRCs: u1=92BFE182 u2=0BC62A10 duo=5011000B
0x068000-0x068FFF: DIFFERENT | selected=duo_dump | CRCs: u1=5C12DE08 u2=36BCE80C duo=9152149B
0x069000-0x069FFF: DIFFERENT | selected=duo_dump | CRCs: u1=CBC502FB u2=1306B435 duo=62F770BF
0x06A000-0x06AFFF: DIFFERENT | selected=duo_dump | CRCs: u1=4842EB0B u2=A7A5B0A0 duo=81A1C0BC
0x06B000-0x06BFFF: DIFFERENT | selected=duo_dump | CRCs: u1=02CE5B55 u2=B6D7EE64 duo=87D81BCD
0x06C000-0x06CFFF: DIFFERENT | selected=duo_dump | CRCs: u1=B8D2C2E3 u2=33E1FDA8 duo=4C452A20
0x06D000-0x06DFFF: DIFFERENT | selected=duo_dump | CRCs: u1=24D70616 u2=48E49B6B duo=7DF3E8CE
0x06E000-0x06EFFF: DIFFERENT | selected=duo_dump | CRCs: u1=1B1D41B8 u2=3042CD9C duo=72AB4FBC
0x06F000-0x06FFFF: DIFFERENT | selected=duo_dump | CRCs: u1=BD71552F u2=F6031BB9 duo=73CDAD72
0x070000-0x070FFF: DIFFERENT | selected=duo_dump | CRCs: u1=FAA5F4FE u2=48CEA672 duo=DE13A948
0x071000-0x071FFF: DIFFERENT | selected=duo_dump | CRCs: u1=8CD5920D u2=157F56EB duo=D30D411E
0x072000-0x072FFF: DIFFERENT | selected=duo_dump | CRCs: u1=293977AE u2=642E6A86 duo=6A5425FA
0x073000-0x073FFF: DIFFERENT | selected=duo_dump | CRCs: u1=F348BB1B u2=5C8D769B duo=C465C971
0x074000-0x074FFF: DIFFERENT | selected=duo_dump | CRCs: u1=F8EFB07C u2=5DCA3CC8 duo=1AB88AC4
0x075000-0x075FFF: DIFFERENT | selected=duo_dump | CRCs: u1=F7EC6AAA u2=0873E751 duo=85A34DF2
0x076000-0x076FFF: DIFFERENT | selected=duo_dump | CRCs: u1=ED960EF4 u2=843B080C duo=A862DCAE
0x077000-0x077FFF: DIFFERENT | selected=duo_dump | CRCs: u1=5D5A5B54 u2=FF0A0D9A duo=9BBBC91E
0x078000-0x078FFF: DIFFERENT | selected=duo_dump | CRCs: u1=BF39F983 u2=0B1AABB1 duo=B3378750
0x079000-0x079FFF: DIFFERENT | selected=duo_dump | CRCs: u1=C2E05405 u2=07AF339B duo=C701667B
0x07A000-0x07AFFF: DIFFERENT | selected=duo_dump | CRCs: u1=65B42677 u2=7873A284 duo=C06B620C
0x07B000-0x07BFFF: DIFFERENT | selected=duo_dump | CRCs: u1=BA8E86A5 u2=4EDAA551 duo=A120D79E
0x07C000-0x07CFFF: DIFFERENT | selected=duo_dump | CRCs: u1=1E2FD10B u2=DC334326 duo=44289579
0x07D000-0x07DFFF: DIFFERENT | selected=duo_dump | CRCs: u1=F6136E73 u2=B7CB9D88 duo=B0E1AE53
0x07E000-0x07EFFF: DIFFERENT | selected=duo_dump | CRCs: u1=6B36AD38 u2=41CBC28A duo=B1F6E992
0x07F000-0x07FFFF: DIFFERENT | selected=duo_dump | CRCs: u1=97AF56B2 u2=2DF98DA4 duo=50B93BEB
0x080000-0x080FFF: DIFFERENT | selected=duo_dump | CRCs: u1=A6F0F1A3 u2=046F5905 duo=E980FCF7
